Item,Vendor,Unit Price,Qty,Total,Note,Link,,,,,Total, £298.75 
OpenPMU BBB ADC Cape,,,,,,,,,,,,
6P6C Double Connector (RJ12),Farnell, £1.99 ,1, £1.99 ,J1,"https://uk.farnell.com/molex/43223-6101/connector-rj11-jack-6p6c-cat3/dp/2612385?MER=sy-me-pd-mi-alte&st=2%20Modular%20Connector,%20Right%20Angle,%20RJ11%20Jack,%201%20x%201%20Port,%206P6C,%20Cat3,%20Through%20Hole%20Mount",,,,,,
47 uF 6.3 V 5 mm Capacitor,Farnell, £0.05 ,2, £0.09 ,"C6,C7",https://uk.farnell.com/teapo/kss476m6r3s1a5c07k/cap-47-f-6-3v-20/dp/2901342,,,,,,
LED SMD (G),Farnell, £0.23 ,1, £0.23 ,BBB,https://uk.farnell.com/wurth-elektronik/150120gs75000/led-1206-green-450mcd-520nm/dp/2322085?st=1206%20Series%20SMD%20LED,,,,,,
LED SMD (Y),Farnell, £0.23 ,1, £0.23 ,PPS,"https://uk.farnell.com/wurth-elektronik/150120ys75000/led-1206-yellow-120mcd-590nm/dp/2322089?st=LED,%20yellow,%20SMD,%201206",,,,,,
LED SMD (W),Farnell, £0.94 ,1, £0.94 ,RU1,https://uk.farnell.com/lumex/sml-lx1206uww-tr/led-white-2mm-90mcd-550nm/dp/2062228?st=SMD%20LED,,,,,,
LED SMD (B),Farnell, £0.23 ,1, £0.23 ,RU0,https://uk.farnell.com/wurth-elektronik/150120bs75000/led-1206-blue-145mcd-470nm/dp/2322084?st=1206%20Series%20SMD%20LED,,,,,,
1K SMD Resistor 1206,Farnell, £0.02 ,4, £0.10 ,"R9,R10,R11,R12","https://uk.farnell.com/bourns/cr1206-fx-1001elf/res-1k-1-0-25w-1206-thick-film/dp/2008393?st=Resistor%201001,%201206",,,,,,
"30 contact, 2-row, 2.54mm board to board
connector",Farnell, £2.00 ,1, £2.00 ,ADC7606-A,"http://uk.farnell.com/samtec/ssw-115-01-t-
d/socket-2-54mm-2x15way/dp/1885920",,,,,,
"16 contact, 2-row, 2.54mm board to board connector",Farnell, £1.00 ,1, £1.00 ,ADC7606-B,"http://uk.farnell.com/samtec/ssw-108-01-t- d/connector-rcpt-16pos-2row-2-
54mm/dp/2748580",,,,,,
"46 contact, 2-row, 2.54mm board to board connector",Farnell, £3.52 ,2, £7.04 ,"P8,P9",https://uk.farnell.com/samtec/tsw-123-07-t-d/connector-header-46pos-2row-2/dp/2505042?st=46%20way%20header,,,,,,
1K Resistor Network DIP,Farnell, £0.96 ,1, £0.96 ,,https://uk.farnell.com/bourns/4116r-1-102lf/resistor-network-1k/dp/9355820?scope=partnumberlookahead&ost=4116R-1-102LF&searchref=searchlookahead&exaMfpn=true&ddkey=https%3Aen-GB%2FElement14_United_Kingdom%2Fw%2Fsearch,,,,,,
"12-way, 2.54mm, right angle connector",Farnell, £0.17 ,1, £0.17 ,"GPS_INPUT,CLK_SEL,RNG_SEL",https://uk.farnell.com/multicomp/mc34757/header-1-row-r-angle-12way/dp/1593434,,,,,,
AD7606 Module,eBay, £12.81 ,1, £12.81 ,,https://www.ebay.co.uk/itm/16Bits-ADC-8CH-Synchronization-AD7606-DATA-Acquisition-Module-200Ksps/321889631963?hash=item4af21dfedb:g:JuEAAOSwyi9aKSIT,,,,,,
,,,,,,,,,,,,
Input Board,,,,,,,,,,,,
Fuse,Farnell, £0.28 ,3, £0.84 ,"R1,R3,R5",https://uk.farnell.com/bel-fuse-circuit-protection/0679l1000-01/fuse-smd-1a-fast-acting-2410/dp/2834805?st=6125%20metric%201%20a,,,,,,
"Thin Film 51k? resistor, package 2512, Series SMD, 1.5W",Farnell, £0.25 ,3, £0.75 ,"R2,R4,R6",https://uk.farnell.com/multicomp/mcpwr12ftea5102/res-51k-1-1-5w-2512-thick-film/dp/1887835?st=2512%2051k,,,,,,
"Thin Film 499? resistor, package 2512, Series SMD, 1.5W",Farnell, £0.33 ,3, £0.99 ,"R7,R8,R9",https://uk.farnell.com/vishay/crcw2512499rfkeg/res-499r-1-1w-2512-thick-film/dp/2112880?st=2512%20499%20ohm,,,,,,
"Thin Film 200? resistor, package 2512, Series SMD, 2W",Farnell, £0.47 ,4, £1.88 ,"R10,R11,R12,R13",https://uk.farnell.com/te-connectivity/3521200rft/res-200r-1-2w-2512/dp/2117485?st=2512%20200%20ohm,,,,,,
6P6C Double Connector (RJ12),Farnell, £1.99 ,1, £1.99 ,J1,"https://uk.farnell.com/molex/43223-6101/connector-rj11-jack-6p6c-cat3/dp/2612385?MER=sy-me-pd-mi-alte&st=2%20Modular%20Connector,%20Right%20Angle,%20RJ11%20Jack,%201%20x%201%20Port,%206P6C,%20Cat3,%20Through%20Hole%20Mount",,,,,,
6 Contact Terminal Block (5mm),Farnell, £1.18 ,1, £1.18 ,P,https://uk.farnell.com/buchanan-te-connectivity/282836-6/terminal-block-wire-to-brd-6pos/dp/3089071,,,,,,
8 Contact Terminal Block (2.54 mm),Farnell, £1.87 ,1, £1.87 ,,https://uk.farnell.com/multicomp-pro/mp008517/tb-wire-to-brd-r-a-8way-18awg/dp/3817464,,,,,,
Voltage Input - TV19 Transformer (4-pack),eBay, £9.20 ,1, £9.20 ,"(req. 3 units, but sold as 4 pack)",https://www.ebay.co.uk/itm/4pcs-TV19-Current-Type-Voltage-Transformer-Rated-Input-Current-Module-5mA/283459466643?hash=item41ff803593:g:7kMAAOSw9ClcvV4f,,,,,,
Current Input - SCT-013-000 100A CT (Color: 100A Version),eBay, £3.57 ,3, £10.71 ,(optional),https://www.ebay.com/itm/1pcs-SCT-013-000-YHDC-30A-50A-100A-retractable-current-transformer-SCT013000/184085056080?hash=item2adc530a50:m:meEdbfwjshMl49807ytHWYg,,,,,,
3.5 mm Jack (Audio Connector),Farnell,1.77,15,26.55,"(optional, for CTs)","https://uk.farnell.com/cliff-electronic-components/fc681374v/conn-phone-audio-3-5mm-jack-3pos/dp/2431939?st=Audio%20connector,%203%20contacts",,,,,,
,,,,,,,,,,,,
Cables,,,,,,,,,,,,
Mini-USB (right angle) to USB Type A,Farnell, £1.91 ,1, £1.91 ,BBB to Raspberry Pi,https://uk.farnell.com/pro-signal/psg91618/lead-usb2-0-a-male-rt-angle-mini/dp/3403454,,,,,,
"RJ11 6P6C Cable (Colour: Black, Length: 20cm)",eBay, £2.39 ,1, £2.39 ,Input Board to OpenPMU Cape,https://www.ebay.co.uk/itm/Short-15cm-20cm-50cm-70cm-6Pin-RJ11-to-RJ11-6P6C-Data-Cable-Straight-Pins/392564457959?hash=item5b66aa41e7:m:m1qCWVTLnMaaOk3cV5C-ltg,,,,,,
,,,,,,,,,,,,
Single Board Computers,,,,,,,,,,,,
BeagleBone Black ,Farnell, £48.65 ,1, £48.65 ,,https://uk.farnell.com/beagleboard/bbone-black-4g/beaglebone-black-rev-c-cortex/dp/2422228?st=beaglebone%20black,,,,,,
Raspberry Pi 4 (8 GB),Farnell, £73.78 ,1, £73.78 ,,https://uk.farnell.com/raspberry-pi/rpi4-modbp-8gb/raspberry-pi-4-model-b-cortex/dp/3369503,,,,,,
Raspberry Pi PSU (UK),Farnell, £7.81 ,1, £7.81 ,,https://uk.farnell.com/raspberry-pi/sc0212/rpi-power-supply-usb-c-5-1v-3a/dp/3106940,,,,,,
,,,,,,,,,,,,
GNSS Module (GPS),,,,,,,,,,,,
UBLOX 7M GPS Module,eBay, £5.50 ,1, £5.50 ,,https://www.ebay.co.uk/itm/NEO-7M-GPS-Satellite-Positioning-Module-for-Arduino-STM32-C51-Replace-NEO-6M/311876309386?epid=11021519769&hash=item489d46d18a:g:i48AAOSwbopZUH26,,,,,,
Active GPS Antenna,eBay, £8.68 ,1, £8.68 ,,https://www.ebay.co.uk/itm/GPS-Active-Antenna-BNC-series-connector-2M-3M-5M-for-Garmin-GPS-45XL-225-/300415623305,,,,,,
Patch Wires,Farnell, £3.49 ,1, £3.49 ,,https://uk.farnell.com/multicomp-pro/mp006284/jumper-wire-kit-female-to-female/dp/3617772,,,,,,
,,,,,,,,,,,,
Enclosure,,,,,,,,,,,,
Plastic Enclosure,Farnell, £37.64 ,1, £37.64 ,,"https://uk.farnell.com/spelsberg/130-008/box-smoked-lid-254x180x90mm/dp/531560?st=plastic%20enclosure%2090%20mm,%20180%20mm,%20254%20mm",,,,,,
M3x8mm Screws (Hex Head) 50-pack,Farnell, £4.22 ,1, £4.22 ,,https://uk.farnell.com/duratool/d01433/screws-button-m3-8mm/dp/2444343?st=m3%20screw,,,,,,
M3 Nylon Standoff 20mm,Farnell, £11.53 ,1, £11.53 ,,https://uk.farnell.com/tr-fastenings/fahsngffm3-20-6/standoff-hex-female-nylon-6-20mm/dp/2480025,,,,,,
M3 Nylon Screw (Phillips),Farnell, £3.00 ,1, £3.00 ,,https://uk.farnell.com/duratool/d00687/screw-pan-m3x6-pk25/dp/1514409?st=m3%20nylon%20screw,,,,,,
Rubber Feet (24-pack),Farnell, £5.44 ,1, £5.44 ,,https://uk.farnell.com/hammond/1421t2/feet-rubber-12-7x3-5-black-pk24/dp/1876514?st=rubber%20feet,,,,,,
Cable Gland M20,Farnell, £0.96 ,1, £0.96 ,,https://uk.farnell.com/lapp-kabel/53112911/cable-gland-spiral-black-m20/dp/1504199,,,,,,
